concept,same_mean_alignment,other_mean_alignment,alignment_margin,heldout_pairs
Ving - 3pSg,0.6294773817062378,-0.01771608447082914,0.647193466177067,15
adj - superlative,0.6684834957122803,0.05230705509912253,0.6161764406131578,24
adj - comparative,0.6203547120094299,0.033004709964398686,0.5873500020450313,24
3pSg - Ved,0.5682350993156433,-0.00018595169202830546,0.5684210510076716,15
verb - Ving,0.5865091681480408,0.06117654364550104,0.5253326245025397,15
lower - upper,0.5360559821128845,0.01984666823531612,0.5162093138775684,22
German - Spanish,0.49819204211235046,-0.015638634988975424,0.5138306771013259,24
adj - adj + ly,0.5200785994529724,0.013862711832954143,0.5062158876200182,15
verb - V + ment,0.5537633299827576,0.054122032610795054,0.4996412973719625,15
French - Spanish,0.5032024383544922,0.008371647722714651,0.49483079063177754,24
Ving - Ved,0.49967846274375916,0.012933938239868253,0.4867445245038909,15
verb - 3pSg,0.5513986349105835,0.06803426283937043,0.4833643720712131,15
verb - V + tion,0.537007212638855,0.057187460642904996,0.47981975199595,15
thing - color,0.45719441771507263,-0.017785303964793015,0.47497972167986563,15
male - female,0.45853692293167114,0.0034566883753611296,0.45508023455631,16
verb - V + able,0.5144802331924438,0.06625434673056961,0.4482258864618742,15
country - capital,0.4427737295627594,-0.002860741555475845,0.44563447111823523,24
noun - plural,0.46099498867988586,0.0320945887127518,0.4289003999671341,24
pronoun - possessive,0.43946731090545654,0.011814083984623162,0.4276532269208334,2
adj - un + adj,0.4364231526851654,0.01279960349202156,0.4236235491931438,15
verb - V + er,0.46997931599617004,0.050218700429496284,0.41976061556667377,15
verb - Ved,0.49171435832977295,0.07951957658948137,0.41219478174029156,15
French - German,0.3844137489795685,-0.0013795819634255262,0.385793330942994,24
English - French,0.3940316140651703,0.009146780871490661,0.3848848331936796,24
small - big,0.2333178073167801,0.0035443627605743063,0.2297734445562058,8
frequent - infrequent,0.2272135466337204,0.024107740839379124,0.2031058057943413,24
thing - part,0.09803624451160431,-0.004358111349686694,0.102394355861291,15
